country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Australia,DM,"combinatorics, number theory, proof, olympiad",A,Official contest organizer,Australian Maths Trust — past papers archive,https://amt.edu.au/department/past-papers,2016 Australian Mathematical Olympiad paper and solutions,https://amt.edu.au/wp-content/uploads/2019/02/2016-AMO-Paper-and-Solutions.pdf,Solution archive,English,Official AMT problem paper with published solutions. Free public download.,Free public download,HTTP 200 · verified 2026-08-14,yes
Australia,DM,"combinatorics, number theory, proof, olympiad",A,Official contest organizer,Australian Maths Trust — past papers archive,https://amt.edu.au/department/past-papers,2017 Australian Mathematical Olympiad paper and solutions,https://amt.edu.au/wp-content/uploads/2019/02/2017-AMO-Paper-and-Solutions.pdf,Solution archive,English,Official AMT problem paper with published solutions. Free public download.,Free public download,HTTP 200 · verified 2026-08-14,yes
Australia,DM,"combinatorics, number theory, proof, olympiad",A,Official contest organizer,Australian Maths Trust — past papers archive,https://amt.edu.au/department/past-papers,2018 Australian Mathematical Olympiad problems and solutions,https://amt.edu.au/wp-content/uploads/2019/02/AMO-2018-Problems-and-Solutions.pdf,Solution archive,English,Official AMT problem paper with published solutions. Free public download.,Free public download,HTTP 200 · verified 2026-08-14,yes
Australia,DM,"combinatorics, number theory, proof, olympiad",A,Official contest organizer,Australian Maths Trust — past papers archive,https://amt.edu.au/department/past-papers,2017 Australian Intermediate Mathematics Olympiad paper and solutions,https://amt.edu.au/wp-content/uploads/2019/04/2017-AIMO-paper-solutions-v2019.pdf,Solution archive,English,Official AMT problem paper with published solutions. Free public download.,Free public download,HTTP 200 · verified 2026-08-14,yes
New Zealand,DM,"combinatorics, geometry, number theory, olympiad, solutions",A,Official olympiad organizer,New Zealand Maths Olympiad — resources archive,https://www.mathsolympiad.org.nz/resources/,2026 New Zealand Mathematical Olympiad Round 1 solutions,https://www.mathsolympiad.org.nz/competitions/nzmo/files/problems.php?round=1&year=2026&type=solutions,Solution archive,English,Official NZMO solution file from the public resources archive.,Free public download,HTTP 200 · verified 2026-08-14,yes
New Zealand,DM,"combinatorics, geometry, number theory, olympiad, solutions",A,Official olympiad organizer,New Zealand Maths Olympiad — resources archive,https://www.mathsolympiad.org.nz/resources/,2025 New Zealand Mathematical Olympiad Round 1 solutions,https://www.mathsolympiad.org.nz/competitions/nzmo/files/problems.php?round=1&year=2025&type=solutions,Solution archive,English,Official NZMO solution file from the public resources archive.,Free public download,HTTP 200 · verified 2026-08-14,yes
New Zealand,DM,"combinatorics, geometry, number theory, olympiad, solutions",A,Official olympiad organizer,New Zealand Maths Olympiad — resources archive,https://www.mathsolympiad.org.nz/resources/,2025 New Zealand Mathematical Olympiad Round 2 solutions,https://www.mathsolympiad.org.nz/competitions/nzmo/files/problems.php?round=2&year=2025&type=solutions,Solution archive,English,Official NZMO solution file from the public resources archive.,Free public download,HTTP 200 · verified 2026-08-14,yes
New Zealand,DM,"combinatorics, geometry, number theory, olympiad",A,Official olympiad organizer,New Zealand Maths Olympiad — resources archive,https://www.mathsolympiad.org.nz/resources/,2024 New Zealand Mathematical Olympiad Round 1 problems,https://www.mathsolympiad.org.nz/competitions/nzmo/files/problems.php?round=1&year=2024,Contest paper,English,Official NZMO problem file from the public resources archive.,Free public download,HTTP 200 · verified 2026-08-14,yes
New Zealand,DM,"combinatorics, geometry, number theory, olympiad, solutions",A,Official olympiad organizer,New Zealand Maths Olympiad — resources archive,https://www.mathsolympiad.org.nz/resources/,2024 New Zealand Mathematical Olympiad Round 1 solutions,https://www.mathsolympiad.org.nz/competitions/nzmo/files/problems.php?round=1&year=2024&type=solutions,Solution archive,English,Official NZMO solution file from the public resources archive.,Free public download,HTTP 200 · verified 2026-08-14,yes
New Zealand,DM,"combinatorics, geometry, number theory, olympiad",A,Official olympiad organizer,New Zealand Maths Olympiad — resources archive,https://www.mathsolympiad.org.nz/resources/,2024 New Zealand Mathematical Olympiad Round 2 problems,https://www.mathsolympiad.org.nz/competitions/nzmo/files/problems.php?round=2&year=2024,Contest paper,English,Official NZMO problem file from the public resources archive.,Free public download,HTTP 200 · verified 2026-08-14,yes
New Zealand,DM,"combinatorics, geometry, number theory, olympiad, solutions",A,Official olympiad organizer,New Zealand Maths Olympiad — resources archive,https://www.mathsolympiad.org.nz/resources/,2024 New Zealand Mathematical Olympiad Round 2 solutions,https://www.mathsolympiad.org.nz/competitions/nzmo/files/problems.php?round=2&year=2024&type=solutions,Solution archive,English,Official NZMO solution file from the public resources archive.,Free public download,HTTP 200 · verified 2026-08-14,yes
New Zealand,DM,"combinatorics, geometry, number theory, olympiad",A,Official olympiad organizer,New Zealand Maths Olympiad — resources archive,https://www.mathsolympiad.org.nz/resources/,2023 New Zealand Mathematical Olympiad Round 1 problems,https://www.mathsolympiad.org.nz/competitions/nzmo/files/problems.php?round=1&year=2023,Contest paper,English,Official NZMO problem file from the public resources archive.,Free public download,HTTP 200 · verified 2026-08-14,yes
