country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2026 Junior Regional Competition Problems (ÖMO),https://www.math.aau.at/OeMO/problems/LWA/2026,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad Junior Regional Competition problem paper, 2026. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2026 Junior Regional Competition Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/LWA/2026,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad Junior Regional Competition solutions, 2026. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2026 Regional Competition Problems (ÖMO),https://www.math.aau.at/OeMO/problems/GWF/2026,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad Regional Competition problem paper, 2026. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2026 Regional Competition Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/GWF/2026,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad Regional Competition solutions, 2026. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2026 National Competition Preliminary Round Problems (ÖMO),https://www.math.aau.at/OeMO/problems/ZWF/2026,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad National Competition Preliminary Round problem paper, 2026. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2026 National Competition Preliminary Round Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/ZWF/2026,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad National Competition Preliminary Round solutions, 2026. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2026 National Competition Final Round Problems (ÖMO),https://www.math.aau.at/OeMO/problems/BWF/2026,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad National Competition Final Round problem paper, 2026. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2026 National Competition Final Round Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/BWF/2026,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad National Competition Final Round solutions, 2026. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2025 Junior Regional Competition Problems (ÖMO),https://www.math.aau.at/OeMO/problems/LWA/2025,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad Junior Regional Competition problem paper, 2025. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2025 Junior Regional Competition Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/LWA/2025,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad Junior Regional Competition solutions, 2025. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2025 Regional Competition Problems (ÖMO),https://www.math.aau.at/OeMO/problems/GWF/2025,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad Regional Competition problem paper, 2025. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2025 Regional Competition Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/GWF/2025,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad Regional Competition solutions, 2025. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2025 National Competition Preliminary Round Problems (ÖMO),https://www.math.aau.at/OeMO/problems/ZWF/2025,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad National Competition Preliminary Round problem paper, 2025. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2025 National Competition Preliminary Round Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/ZWF/2025,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad National Competition Preliminary Round solutions, 2025. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2025 National Competition Final Round Problems (ÖMO),https://www.math.aau.at/OeMO/problems/BWF/2025,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad National Competition Final Round problem paper, 2025. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2025 National Competition Final Round Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/BWF/2025,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad National Competition Final Round solutions, 2025. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2024 Junior Regional Competition Problems (ÖMO),https://www.math.aau.at/OeMO/problems/LWA/2024,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad Junior Regional Competition problem paper, 2024. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2024 Junior Regional Competition Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/LWA/2024,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad Junior Regional Competition solutions, 2024. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2024 Regional Competition Problems (ÖMO),https://www.math.aau.at/OeMO/problems/GWF/2024,Problem paper (PDF),English,"Official Austrian Mathematical Olympiad Regional Competition problem paper, 2024. English problem statements (algebra, geometry, number theory, combinatorics, inequalities). Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Austria,GA/DM,"olympiad,problems,solutions,algebra,geometry,number theory,combinatorics,inequalities",A,University-hosted olympiad archive,Austrian Mathematical Olympiad English archive,https://www.math.aau.at/OeMO/problems/,Austrian Mathematical Olympiad 2024 Regional Competition Solutions (ÖMO),https://www.math.aau.at/OeMO/solutions/GWF/2024,Solutions document (PDF),English,"Official Austrian Mathematical Olympiad Regional Competition solutions, 2024. English full solutions to the contest problems. Hosted first-party at University of Klagenfurt.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
