country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Czechia,DM,algorithms;data structures;discrete mathematics;competitive programming,A,Contest,Central Europe Regional Contest (ICPC) — Czech Technical University,https://contest.felk.cvut.cz/,"CERC 2020 problem set (English, problems only)",https://contest.felk.cvut.cz/20cerc/solved/AllProblems.pdf,Contest,English,Official CERC 2020 hosted by Czech Technical University in Prague; AllProblems.pdf = 26-page English problem set with algorithms/discrete-math tasks.,Free public web resource,HTTP 200 · verified 2026-08-24,yes
Czechia,DM,algorithms;data structures;discrete mathematics;competitive programming,A,Contest,Central Europe Regional Contest (ICPC) — Czech Technical University,https://contest.felk.cvut.cz/,"CERC 2019 problem set (English, problems only)",https://contest.felk.cvut.cz/19cerc/solved/cerc-final.pdf,Contest,English,Official CERC 2019 hosted by CTU Prague; cerc-final.pdf = 24-page English problem set (algorithms/discrete math).,Free public web resource,HTTP 200 · verified 2026-08-24,yes
Czechia,DM,algorithms;data structures;discrete mathematics;competitive programming,A,Contest,Central Europe Regional Contest (ICPC) — Czech Technical University,https://contest.felk.cvut.cz/,"CERC 2018 problem set (English, problems only)",https://contest.felk.cvut.cz/18cerc/solved/problem-set.pdf,Contest,English,Official CERC 2018 hosted by CTU Prague; problem-set.pdf = 23-page English problem set (algorithms/discrete math).,Free public web resource,HTTP 200 · verified 2026-08-24,yes
Czechia,GA,olympiad;algebra;number theory;combinatorics;geometry,A,Exam archive,"Czech Mathematical Olympiad (official, English section)",https://matematickaolympiada.cz/en/,72nd Czech and Slovak Mathematical Olympiad (2023) — problems and solutions (English),https://matematickaolympiada.cz/media/3549099/a72e.pdf,Exam archive,English,"Official MO English translation (a72e.pdf, 30 pp): full contest problems with detailed English solutions.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Czechia,GA,olympiad;algebra;number theory;combinatorics;geometry,A,Exam archive,"Czech Mathematical Olympiad (official, English section)",https://matematickaolympiada.cz/en/,71st Czech and Slovak Mathematical Olympiad (2022) — problems (English),https://matematickaolympiada.cz/media/3459597/a71angl-small.pdf,Exam archive,English,Official MO English translation (a71angl-small.pdf): contest problems in English.,Free public web resource,HTTP 200 · verified 2026-08-24,yes
Czechia,GA,olympiad;algebra;number theory;combinatorics;geometry,A,Exam archive,"Czech Mathematical Olympiad (official, English section)",https://matematickaolympiada.cz/en/,68th Czech and Slovak Mathematical Olympiad (2019) — problems and solutions (English),https://matematickaolympiada.cz/media/3459596/a68angl.pdf,Exam archive,English,"Official MO English translation (a68angl.pdf, 22 pp): contest problems with English solutions.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Czechia,GA,olympiad;algebra;number theory;combinatorics;geometry,A,Exam archive,"Czech Mathematical Olympiad (official, English section)",https://matematickaolympiada.cz/en/,65th Czech and Slovak Mathematical Olympiad (2016) — problems and solutions (English),https://matematickaolympiada.cz/media/3459595/a65angl.pdf,Exam archive,English,"Official MO English translation (a65angl.pdf, 19 pp): contest problems with English solutions.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Czechia,GA,olympiad;algebra;number theory;combinatorics;geometry,A,Exam archive,"Czech Mathematical Olympiad (official, English section)",https://matematickaolympiada.cz/en/,60th Czech and Slovak Mathematical Olympiad (2011) — problems and solutions (English),https://matematickaolympiada.cz/media/3459590/a60angl.pdf,Exam archive,English,"Official MO English translation (a60angl.pdf, 19 pp): contest problems with English solutions.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Czechia,GA,olympiad;algebra;number theory;combinatorics;geometry,A,Exam archive,"Czech Mathematical Olympiad (official, English section)",https://matematickaolympiada.cz/en/,64th Czech and Slovak Mathematical Olympiad (2015) — first round (English),https://matematickaolympiada.cz/media/3459594/a64angl.pdf,Exam archive,English,"Official MO English translation (a64angl.pdf, 7 pp): first-round contest problems in English.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Czechia,GA,olympiad;problem solving;solutions,A,Exam archive,"Czech Mathematical Olympiad (official, English section)",https://matematickaolympiada.cz/en/,Czech-Polish-Slovak-Austrian Match 2022 — solutions and marking schemes (English),https://matematickaolympiada.cz/media/3459605/2022-cps-sols.pdf,Solutions,English,"Official CPS(A) Match 2022 solutions & marking schemes PDF (10 pp) in English, hosted on the MO site.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
