country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Canada,GA/DM,contest;computing;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2022 grades 7/8 contest,https://cemc.uwaterloo.ca/sites/default/files/documents/2022/2022BCCContest7_8.pdf,Contest paper,English,Official CEMC contest paper from the public 2022 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,GA/DM,contest;computing;solutions;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2022 grades 7/8 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2022/2022BCCContestSolutions7_8.pdf,Solution archive,English,Official CEMC solution PDF from the public 2022 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,GA/DM,contest;computing;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2023 grades 5/6 contest,https://cemc.uwaterloo.ca/sites/default/files/documents/2023/2023BCCContest5_6.pdf,Contest paper,English,Official CEMC contest paper from the public 2023 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,GA/DM,contest;computing;solutions;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2023 grades 5/6 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2023/2023BCCContestSolutions5_6.pdf,Solution archive,English,Official CEMC solution PDF from the public 2023 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,GA/DM,contest;computing;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2023 grades 7/8 contest,https://cemc.uwaterloo.ca/sites/default/files/documents/2023/2023BCCContest7_8.pdf,Contest paper,English,Official CEMC contest paper from the public 2023 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,GA/DM,contest;computing;solutions;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2023 grades 7/8 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2023/2023BCCContestSolutions7_8.pdf,Solution archive,English,Official CEMC solution PDF from the public 2023 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,GA/DM,contest;computing;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2023 grades 9/10 contest,https://cemc.uwaterloo.ca/sites/default/files/documents/2023/2023BCCContest9_10.pdf,Contest paper,English,Official CEMC contest paper from the public 2023 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,GA/DM,contest;computing;solutions;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2023 grades 9/10 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2023/2023BCCContestSolutions9_10.pdf,Solution archive,English,Official CEMC solution PDF from the public 2023 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,GA/DM,contest;computing;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2024 grades 5/6 contest,https://cemc.uwaterloo.ca/sites/default/files/documents/2024/2024BCCContest5_6.pdf,Contest paper,English,Official CEMC contest paper from the public 2024 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,GA/DM,contest;computing;solutions;past-year,A,University contest archive,CEMC Past Contests Solutions and Results,https://cemc.uwaterloo.ca/resources/past-contests,Canadian Beaver Computing Challenge 2024 grades 5/6 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2024/2024BCCContestSolutions5_6.pdf,Solution archive,English,Official CEMC solution PDF from the public 2024 archive.,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
