country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
France,EM/CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-tsi.html,CCINP TSI 2026 — Mathematics question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/TSI/2026_TSI1M.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
France,CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-tsi.html,CCINP TSI 2026 — Informatics question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/TSI/2026_TSI5IN_SUJET.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
France,EM/CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-tsi.html,CCINP TSI 2026 — Industrial Sciences question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/TSI/2026_TSI7SI_SUJET.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
France,EM/CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-psi.html,CCINP PSI 2026 — Mathematics question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/PSI/2026_PSI1M.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
France,CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-psi.html,CCINP PSI 2026 — Informatics question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/PSI/2026_PSI5IN_SUJET.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
France,EM/CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-psi.html,CCINP PSI 2026 — Industrial Sciences question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/PSI/2026_PSI7SI_SUJET.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
France,EM/CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-pc.html,CCINP PC 2026 — Mathematics question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/PC/2026_PC1M.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
France,CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-pc.html,CCINP PC 2026 — Informatics question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/PC/2026_PC5IN_SUJET.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
France,EM/CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-mp.html,CCINP MP 2026 — Mathematics 2 question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/MP/2026_MP3M2.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
France,EM/CS,engineering mathematics;discrete mathematics;mathematics;informatics;industrial sciences;past year questions;entrance examination,A,National engineering entrance examination archive,Concours Commun INP annales (official),https://www.concours-commun-inp.fr/fr/epreuves/annales/annales-mp.html,CCINP MP 2026 — Mathematics 1 question paper,https://www.concours-commun-inp.fr/_resource/annales%20%C3%A9crits/2026/MP/2026_MP1M1.pdf?download=true,Past year question paper,French source; English catalog metadata,Official CCINP past examination paper. The catalog title and description are supplied in English; the original French PDF URL is preserved.,Free public PDF,HTTP 200 · verified 2026-08-21,Yes
