country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
United States,DM,"logic,proofs,graphs,combinatorics,probability",A,University,MIT OpenCourseWare 6.042J Mathematics for Computer Science,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2005/pages/assignments/,Assignments and solutions: Mathematics for Computer Science,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2005/pages/assignments/,Assignments and solutions,English,"Free problem sets and solution files covering proofs, induction, relations, graph theory, number theory, counting, generating functions, probability, and expectation.",Free,Verified free institutional source,Yes
United States,DM/EM,"proofs,discrete probability,exams",A,University,MIT OpenCourseWare 6.042J Mathematics for Computer Science,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2010/pages/exams/,Midterms and final examinations,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2010/pages/exams/,Exam papers,English,Free midterm and final exam materials with several solution files; the official page notes that some final-exam solutions are unavailable.,Free,Verified free institutional source,Yes
United States,DM,"applied discrete mathematics,information theory,coding",A,University,MIT OpenCourseWare 18.310 Principles of Discrete Applied Mathematics,https://ocw.mit.edu/courses/18-310-principles-of-discrete-applied-mathematics-fall-2013/pages/assignments/,Homework and term-paper assignments,https://ocw.mit.edu/courses/18-310-principles-of-discrete-applied-mathematics-fall-2013/pages/assignments/,Assignments,English,"Free course page with 12 homework or term-paper assignments covering linear programming, discrete Fourier transforms, Shannon bounds, Huffman codes, and Lempel-Ziv codes.",Free,Verified free institutional source,Yes
United States,EM/DM,"probability,statistics,random variables",A,University,MIT OpenCourseWare 18.05 Introduction to Probability and Statistics,https://ocw.mit.edu/courses/18-05-introduction-to-probability-and-statistics-spring-2022/pages/problem-sets/,Problem sets and solutions,https://ocw.mit.edu/courses/18-05-introduction-to-probability-and-statistics-spring-2022/pages/problem-sets/,Assignments and solutions,English,Free problem sets and solutions with optional interactive problem checkers; the course lists 11 problem-set weeks.,Free,Verified free institutional source,Yes
United States,EM,"linear algebra,matrix theory,eigenvalues",A,University,MIT OpenCourseWare 18.06 Linear Algebra,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/,Problem sets exams and solutions,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/,Assignments and exams,English,"Free courseware with lecture materials, problem sets, problem-set solutions, exams, and exam solutions.",Free,Verified free institutional source,Yes
United States,DM,"discrete mathematics,quizzes,exams",B,University,University of Michigan EECS 203 reference archive,https://www.eecs.umich.edu/courses/eecs203/refs.html,Discrete mathematics notes quizzes and exams,https://www.eecs.umich.edu/courses/eecs203/refs.html,Quizzes and exams,English,"Free university reference archive exposing lecture notes, discussion notes, quizzes, old quizzes, and exams. Automated verification returned a TLS error; inspect manually before relying on the archive.",Free,Access caveat: automated verification returned TLS error,Yes
United States,EM/GA,"calculus,statistics,precalculus,algebra",B,University,University of Houston High School Mathematics Resources,https://online.math.uh.edu/hsmath/,Free mathematics quizzes and practice exams,https://online.math.uh.edu/hsmath/,Quizzes and exams,English,"Free AP Calculus, AP Statistics, Precalculus, and Algebra 2 quizzes, practice exams, handouts, and formula sheets; some quiz access may require free registration.",Free with optional account,Verified free university source,Yes
United States,EM,"algebra,calculus,differential equations",B,University,Lamar University Online Math Notes,https://tutorial.math.lamar.edu/,Practice notes and solutions,https://tutorial.math.lamar.edu/,Assignments and solutions,English,"Free online and downloadable notes with practice problems and solutions across algebra, calculus I to III, and differential equations.",Free,Verified free institutional source,Yes
United States,GA/EM/DM,"algebra,calculus,statistics,probability,SAT mathematics",B,Supplemental,Khan Academy Mathematics,https://www.khanacademy.org/math,Free mathematics courses and quizzes,https://www.khanacademy.org/math,Practice and quizzes,English,"Free practice platform with courses, exercises, quizzes, and unit tests across algebra, calculus, statistics, probability, and SAT mathematics.",Free with optional account,Verified free supplemental source,Yes
United States,GA/EM,"statistics,probability,distributions,sampling",B,Supplemental,Khan Academy Statistics and Probability,https://www.khanacademy.org/math/statistics-probability,Statistics and probability practice,https://www.khanacademy.org/math/statistics-probability,Practice and quizzes,English,"Free guided practice, exercises, quizzes, and unit tests covering distributions, probability, sampling, and statistics.",Free with optional account,Verified free supplemental source,Yes
