country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgaben (Original),https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/37/1_runde/BWINF_37_Aufgaben_WEB.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgaben (Original),https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/35/1_runde/BWINF_35_Aufgaben_WEB.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgaben (Original),https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/32/1_runde/Aufgabenblatt321_Aufgaben.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgaben,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/39/1_runde/Bundeswettbewerb-Aufgabenblatt.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgaben Endrunde,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/aufgaben343.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgaben,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/41/1_runde/Bundeswettbewerb_41_Aufgabenblatt_WEB.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgaben (Original),https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/1_runde/34_Aufgaben.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgaben,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/40/1_runde/Bundeswettbewerb-Aufgabenblatt.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgaben (Original),https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/31/1_runde/Aufgabenblatt311_Aufgaben.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
Germany,DM,DM,A,contest archive,BWINF task collection,https://bwinf.de/bundeswettbewerb/aufgaben/,Aufgabenblatt 1. Runde,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/43/1_runde/Aufgaben431.pdf,PDF paper/problem,German,Official tasks and solution hints across editions,,,yes
