country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem A (Official English PDF),https://competition.binus.ac.id/icpc2022/A.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem B (Official English PDF),https://competition.binus.ac.id/icpc2022/B.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem C (Official English PDF),https://competition.binus.ac.id/icpc2022/C.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem D (Official English PDF),https://competition.binus.ac.id/icpc2022/D.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem E (Official English PDF),https://competition.binus.ac.id/icpc2022/E.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem F (Official English PDF),https://competition.binus.ac.id/icpc2022/F.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem G (Official English PDF),https://competition.binus.ac.id/icpc2022/G.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem H (Official English PDF),https://competition.binus.ac.id/icpc2022/H.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem I (Official English PDF),https://competition.binus.ac.id/icpc2022/I.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2022,https://competition.binus.ac.id/icpc2022/,ICPC Asia Jakarta 2022 — Problem J (Official English PDF),https://competition.binus.ac.id/icpc2022/J.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2022 problem PDF from BINUS University. Individual access, PDF type, first-page problem-statement cues, and catalog uniqueness were checked before promotion.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
