country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem A (Official English PDF),https://competition.binus.ac.id/icpc2023/A.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem B (Official English PDF),https://competition.binus.ac.id/icpc2023/B.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem C (Official English PDF),https://competition.binus.ac.id/icpc2023/C.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem D (Official English PDF),https://competition.binus.ac.id/icpc2023/D.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem E (Official English PDF),https://competition.binus.ac.id/icpc2023/E.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem F (Official English PDF),https://competition.binus.ac.id/icpc2023/F.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem G (Official English PDF),https://competition.binus.ac.id/icpc2023/G.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem H (Official English PDF),https://competition.binus.ac.id/icpc2023/H.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem I (Official English PDF),https://competition.binus.ac.id/icpc2023/I.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;ICPC,A,BINUS University organiser-hosted ICPC regional contest archive,BINUS University — ICPC Asia Jakarta Regional Contest 2023,https://competition.binus.ac.id/icpc2023/,ICPC Asia Jakarta 2023 — Problem J (Official English PDF),https://competition.binus.ac.id/icpc2023/J.pdf,Programming contest problem paper,English,"Direct, organiser-hosted English ICPC Asia Jakarta 2023 problem PDF from BINUS University. Retrieved and text-extracted; English contest problem statement confirmed.",Free public PDF,HTTP 200 · verified 2026-08-24,yes
