country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Japan,CS,DM,B,contest archive,Japanese Olympiad in Informatics Spring Training,https://contests.ioi-jp.org/joi-sp-2025/index-en.html,Ranking,https://contests.ioi-jp.org/joi-sp-2025/ranking.html,HTML paper/problem/practice,English/Japanese,"Official tasks, test data, judging",,,yes
Japan,CS,DM,B,contest archive,Japanese Olympiad in Informatics Spring Training,https://contests.ioi-jp.org/joi-sp-2025/index-en.html,contests.ioi-jp.org,https://contests.ioi-jp.org/,HTML paper/problem/practice,English/Japanese,"Official tasks, test data, judging",,,yes
Japan,CS,DM,B,contest archive,Japanese Olympiad in Informatics Spring Training,https://contests.ioi-jp.org/joi-sp-2025/index-en.html,here,https://contests.ioi-jp.org/joi-sp-2025/index.html,HTML paper/problem/practice,English/Japanese,"Official tasks, test data, judging",,,yes
Japan,CS,DM,A,contest archive,Japanese Olympiad in Informatics Spring Training,https://contests.ioi-jp.org/joi-sp-2025/index-en.html,Japanese Olympiad in Informatics Spring Training — official gateway,https://contests.ioi-jp.org/joi-sp-2025/index-en.html,Official gateway,English/Japanese,"Official tasks, test data, judging",,,yes
Japan,CS,DM,B,contest archive,Japanese Olympiad in Informatics Spring Training,https://contests.ioi-jp.org/joi-sp-2025/index-en.html,JOI 2024/2025 Spring Training Tasks,https://www2.ioi-jp.org/camp/2025/2025-sp-tasks/index.html,HTML source/link,English/Japanese,"Official tasks, test data, judging",,,yes
Japan,GA/EM,GA/EM,B,admissions exam,JASSO EJU past exam questions,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/index.html,2012 2nd session,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2012_2.html,HTML paper/problem/practice,English/Japanese,Official EJU session archive with answer-sheet guidance,,,yes
Japan,GA/EM,GA/EM,B,admissions exam,JASSO EJU past exam questions,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/index.html,2013 2nd session,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2013_2.html,HTML paper/problem/practice,English/Japanese,Official EJU session archive with answer-sheet guidance,,,yes
Japan,GA/EM,GA/EM,B,admissions exam,JASSO EJU past exam questions,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/index.html,2012 1st session,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2012_1.html,HTML paper/problem/practice,English/Japanese,Official EJU session archive with answer-sheet guidance,,,yes
Japan,GA/EM,GA/EM,B,admissions exam,JASSO EJU past exam questions,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/index.html,2013 1st session,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2013_1.html,HTML paper/problem/practice,English/Japanese,Official EJU session archive with answer-sheet guidance,,,yes
Japan,EM/DM,EM/DM,A,contest archive,Japan Mathematical Olympiad archive,https://www.imojp.org/archive/imo2003/contents/mof.html,Japan Mathematical Olympiad archive — official gateway,https://www.imojp.org/archive/imo2003/contents/mof.html,Official gateway,Japanese,Official organizer/archive gateway,,,yes
Japan,EM/DM,EM/DM,B,contest archive,Japan Mathematical Olympiad archive,https://www.imojp.org/archive/imo2003/contents/mof.html,IMO,https://www.imojp.org/archive/imo2003/contents/imo.html,HTML source/link,Japanese,Official organizer/archive gateway,,,yes
Japan,GA/EM,GA/EM,B,admissions exam,JASSO EJU past exam questions,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/index.html,2014 1st session,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2014_1.html,HTML paper/problem/practice,English/Japanese,Official EJU session archive with answer-sheet guidance,,,yes
Japan,GA/EM,GA/EM,B,admissions exam,JASSO EJU past exam questions,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/index.html,2011 2nd session,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2011_2.html,HTML paper/problem/practice,English/Japanese,Official EJU session archive with answer-sheet guidance,,,yes
Japan,GA/EM,GA/EM,B,admissions exam,JASSO EJU past exam questions,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/index.html,2010 1st session,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2010_1.html,HTML paper/problem/practice,English/Japanese,Official EJU session archive with answer-sheet guidance,,,yes
