country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2026 — first round — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2026/Solutions.pdf,Solution archive,English,Official archive label: Solutions first round 2026,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2026 — first round — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2026/Problems.pdf,Olympiad problem,English,Official archive label: Problems first round 2026,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2025 — national final — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2025/Solutionsv1.pdf,Solution archive,English,Official archive label: Solutions,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2025 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2025/ProblemsKlas4.pdf,Olympiad problem,English,Official archive label: Problems Final 2025,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2025 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2025/ProblemsKlas5.pdf,Olympiad problem,English,Official archive label: Problems Final 2025,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2025 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2025/ProblemsKlas6.pdf,Olympiad problem,English,Official archive label: Problems Final 2025,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2025 — first round — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2025/Solutions.pdf,Solution archive,English,Official archive label: Solutions first round 2025,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2025 — first round — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2025/Problems.pdf,Olympiad problem,English,Official archive label: Problems first round 2025,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2024 — national final — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2024/Solutions.pdf,Solution archive,English,Official archive label: Solutions,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2024 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2024/ProblemsKlas4.pdf,Olympiad problem,English,Official archive label: Problems Final 2024,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2024 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2024/ProblemsKlas5.pdf,Olympiad problem,English,Official archive label: Problems Final 2024,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2024 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2024/ProblemsKlas6.pdf,Olympiad problem,English,Official archive label: Problems Final 2024,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2024 — first round — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2024/Solutions.pdf,Solution archive,English,Official archive label: Solutions first round 2024,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2024 — first round — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2024/Problems.pdf,Olympiad problem,English,Official archive label: Problems first round 2024,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2023 — national final — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2023/Solutions.pdf,Solution archive,English,Official archive label: Solutions,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2023 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2023/ProblemsKlas4.pdf,Olympiad problem,English,Official archive label: Problems Final 2023,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2023 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2023/ProblemsKlas5.pdf,Olympiad problem,English,Official archive label: Problems Final 2023,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2023 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2023/ProblemsKlas6.pdf,Olympiad problem,English,Official archive label: Problems Final 2023,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2023 — first round — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2023/Solutions.pdf,Solution archive,English,Official archive label: Solutions first round 2023,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2023 — first round — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2023/Problems.pdf,Olympiad problem,English,Official archive label: Problems first round 2023,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2022 — national final — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2022/Solutions.pdf,Solution archive,English,Official archive label: Solutions,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2022 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2022/ProblemsKlas4.pdf,Olympiad problem,English,Official archive label: Problems Final 2022,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2022 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2022/ProblemsKlas5.pdf,Olympiad problem,English,Official archive label: Problems Final 2022,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2022 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2022/ProblemsKlas6.pdf,Olympiad problem,English,Official archive label: Problems Final 2022,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2022 — first round — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2022/Solutions.pdf,Solution archive,English,Official archive label: Solutions first round 2022,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/1e-ronde,Dutch Mathematics Olympiad 2022 — first round — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/1e-ronde/2022/Problems.pdf,Olympiad problem,English,Official archive label: Problems first round 2022,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2021 — national final — official solution,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2021/Solutions.pdf,Solution archive,English,Official archive label: Solutions,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Netherlands,GA,general aptitude;mathematical reasoning;algebra;geometry;combinatorics;number theory;Olympiad;contest;problem solving,A,National mathematics Olympiad archive,Dutch Mathematics Olympiad competition papers and solutions (official),https://www.wiskundeolympiade.nl/wedstrijdarchief/finale,Dutch Mathematics Olympiad 2021 — national final — official problem paper,https://www.wiskundeolympiade.nl/phocadownload/opgaven/finale/2021/ProblemsKlas4.pdf,Olympiad problem,English,Official archive label: Problems Final 2021,Free public PDF,HTTP 200 · verified 2026-08-14,Yes
