country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — ms general psychology sample papers,https://admissions.iba.edu.pk/past_entry_test/ms-general-psychology-sample-papers.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — pgd sample paper sample20,https://admissions.iba.edu.pk/past_entry_test/pgd-sample-paper-sample20.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — sample paper 22 ms dev studies,https://admissions.iba.edu.pk/past_entry_test/sample-paper-22-ms-dev-studies.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — sample paper bsem ecco ss,https://admissions.iba.edu.pk/past_entry_test/sample-paper-bsem-ecco-ss.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — cwa mop 26 sample paper,https://admissions.iba.edu.pk/pdf/cwa-mop-26-sample-paper.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — mscs msds phdcs math syllabus,https://admissions.iba.edu.pk/pdf/mscs-msds-phdcs-math-syllabus.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — recommended topics undergraduate mathematics section,https://admissions.iba.edu.pk/pdf/recommended-topics-undergraduate-mathematics-section.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — syllabus bscs bsmath,https://admissions.iba.edu.pk/pdf/syllabus-bscs-bsmath.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — BS ecomth EntryTestSyllabus,https://www.iba.edu.pk/News/BS_ecomth_EntryTestSyllabus.htm,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — Sample Paper BBA V,https://www.iba.edu.pk/News/past_entry_test/BBA/Sample_Paper_BBA_V.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — BBA BS Accounting Finance BS Social Sciences Test,https://www.iba.edu.pk/News/past_entry_test/BBA_BS_Accounting_Finance_BS_Social_Sciences_Test.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — Sample paper BS CS Eco V,https://www.iba.edu.pk/News/past_entry_test/BS-CS/Sample_paper_BS_CS_Eco_V.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — BSCS BSEcoMathSamplePapers13,https://www.iba.edu.pk/News/past_entry_test/BSCS-BSEcoMathSamplePapers13.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — BSCSBSEcoMathSamplePapers14,https://www.iba.edu.pk/News/past_entry_test/BSCSBSEcoMathSamplePapers14.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — MS Mathematics PhD Mathematics,https://www.iba.edu.pk/News/past_entry_test/MS_Mathematics_PhD_Mathematics.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — TunaMelt,https://www.iba.edu.pk/News/past_entry_test/TunaMelt.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — mba,https://www.iba.edu.pk/News/past_entry_test/mba.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — sample papers maths english,https://www.iba.edu.pk/News/past_entry_test/sample_papers-maths_english.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — sample papers 10 maths,https://www.iba.edu.pk/News/past_entry_test/sample_papers_10_maths.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
Pakistan,GA,aptitude;mathematics;entry test;MCQ;sample paper,A,Official university admissions archive,IBA Karachi Past Entry Test Papers,https://admissions.iba.edu.pk/pastpapers.php,IBA Karachi — sample papers 11 maths,https://www.iba.edu.pk/News/past_entry_test/sample_papers_11_maths.pdf,Question paper,English,Official IBA Karachi public entry-test/sample-paper document retained after local substantive English mathematics-content audit; catalogued as GA practice.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-16,Yes
