country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/page/show/Past-Papers-BS-Computer-Science.html,University of the Punjab B.S. in Computer Science Second Year Annual 2022 past examination — 2022,https://pu.edu.pk/downloads/Past-Papers/BS-Computer-Science-2nd-Year-a22.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/page/show/Past-Papers-BS-Computer-Science.html,University of the Punjab B.S. in Computer Science First Year Annual 2022 past examination — 2022,https://pu.edu.pk/downloads/Past-Papers/BS-Computer-Science-1st-Year-a22.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/page/show/Past-Papers-BS-Computer-Science.html,University of the Punjab B.S. in Computer Science Third Year Annual 2021 past examination — 2021,https://pu.edu.pk/downloads/Past-Papers/BS-Computer-Science-3rd-Year-a22.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/page/show/Past-Papers-BS-Computer-Science.html,University of the Punjab B.S. in Computer Science Third Year Annual 2021 past examination — 2021,https://pu.edu.pk/downloads/Past-Papers/BS-Computer-Science-3rd-Year-a21.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/page/show/Past-Papers-BS-Computer-Science.html,University of the Punjab B.S. in Computer Science Second Year Annual 2021 past examination — 2021,https://pu.edu.pk/downloads/Past-Papers/BS-Computer-Science-2nd-Year-a21.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/page/show/Past-Papers-BS-Computer-Science.html,University of the Punjab B.S. in Computer Science Fourth Year Annual 2021 past examination — 2021,https://pu.edu.pk/downloads/Past-Papers/BS-Computer-Science-4th-Year-a22.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/page/show/Past-Papers-BS-Computer-Science.html,University of the Punjab B.S. in Computer Science Fourth Year Annual 2021 past examination — 2021,https://pu.edu.pk/downloads/Past-Papers/BS-Computer-Science-4th-Year-a21.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/page/show/Past-Papers-BS-Computer-Science.html,University of the Punjab B.S. in Computer Science First Year Annual 2021 past examination — 2021,https://pu.edu.pk/downloads/Past-Papers/BS-Computer-Science-1st-Year-a21.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,EM/CS,engineering mathematics;calculus;linear algebra;statistics;analysis;mathematical methods;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/home/bs4yearsdegree/BS-4Years-Mathematics2.html,University of the Punjab Statistics-III past examination — 2021,https://pu.edu.pk/downloads/BS-4Years/Past-Papers/Math/2021/COMBINATION-II/P2021_STAT-201.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,EM/CS,engineering mathematics;calculus;linear algebra;statistics;analysis;mathematical methods;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/home/bs4yearsdegree/BS-4Years-Mathematics1.html,University of the Punjab Mathematical Statistics-I past examination — 2021,https://pu.edu.pk/downloads/BS-4Years/Past-Papers/Math/2021/COMBINATION-I/P2021_MATH-404.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/home/bs4yearsdegree/BS-4Years-Mathematics2.html,University of the Punjab Set Theory past examination — 2019,https://pu.edu.pk/downloads/BS-4Years/Past-Papers/Math/Semester-VII/P2019_MATH-401.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
Pakistan,CS,discrete mathematics;computer science;algorithms;logic;graph theory;algebra;exam;past paper,A,University past-paper archive,University of the Punjab mathematics and computer science past papers,https://pu.edu.pk/home/bs4yearsdegree/BS-4Years-Mathematics2.html,University of the Punjab Ring Theory past examination — 2019,https://pu.edu.pk/downloads/BS-4Years/Past-Papers/Math/Semester-VII/P2019_MATH-407.pdf,Past exam paper,English,Direct public PDF listed in the official University of the Punjab past-paper archive; locally audited as English and substantive.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-16,Yes
