country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Peru,DM,algorithms;data structures;competitive programming,B,first-party organizer,ICPC Latin American Regional 2015 (SBC Maratona archive),https://maratona.sbc.org.br/hist/2015/resultados/,2015 Latin American Regional Contest - problem set,https://maratona.sbc.org.br/hist/2015/resultados/contest_onesided.pdf,contest-problems,English,Official ICPC Latin America regional problem set used in simultaneous contests including Peru (Perú); 11 problems (A-K) with English statements; first-party host maratona.sbc.org.br.,public,HTTP 200 · verified 2026-08-24,yes
Peru,DM,algorithms;competitive programming,B,first-party organizer,ICPC Latin American Regional 2015 (SBC Maratona archive),https://maratona.sbc.org.br/hist/2015/resultados/,2015 Latin American Regional Warmup - problem set,https://maratona.sbc.org.br/hist/2015/resultados/warmup_onesided.pdf,contest-problems,English,Official ICPC Latin America warmup set; 3 English problems (A-C); Peru listed as participating country; first-party host.,public,HTTP 200 · verified 2026-08-24,yes
Peru,DM,algorithms;competitive programming,B,first-party organizer,ICPC Latin American Regional 2016 (SBC Maratona archive),https://maratona.sbc.org.br/hist/2016/resultados/,2016 Latin American Regional Warmup - problem set,https://maratona.sbc.org.br/hist/2016/resultados/warmup.pdf,contest-problems,English,Official ICPC Latin America warmup set; 3 English problems (A-C); Peru among participating countries; first-party host.,public,HTTP 200 · verified 2026-08-24,yes
Peru,DM,algorithms;competitive programming,B,first-party organizer,ICPC Latin American Regional 2017 (SBC Maratona archive),https://maratona.sbc.org.br/hist/2017/resultados/,2017 Latin American Regional Warmup - problem set,https://maratona.sbc.org.br/hist/2017/resultados/warmup.pdf,contest-problems,English,Official ICPC Latin America warmup set; 3 English problems (A-C); Peru among participating countries; first-party host.,public,HTTP 200 · verified 2026-08-24,yes
Peru,DM,algorithms;data structures;competitive programming,B,first-party organizer,ICPC Latin American Regional 2018 (SBC Maratona archive),https://maratona.sbc.org.br/hist/2018/resultados18/,2018 Latin American Regional Contest - problem set,https://maratona.sbc.org.br/hist/2018/resultados18/contest_onesided.pdf,contest-problems,English,Official ICPC Latin America regional problem set; 13 English problems (A-M); Peru (Perú) listed as participating country; first-party host.,public,HTTP 200 · verified 2026-08-24,yes
Peru,DM,algorithms;competitive programming,B,first-party organizer,ICPC Latin American Regional 2018 (SBC Maratona archive),https://maratona.sbc.org.br/hist/2018/resultados18/,2018 Latin American Regional Warmup - problem set,https://maratona.sbc.org.br/hist/2018/resultados18/warmup_onesided.pdf,contest-problems,English,Official ICPC Latin America warmup set; 3 English problems (A-C); Peru among participating countries; first-party host.,public,HTTP 200 · verified 2026-08-24,yes
Peru,DM,algorithms;data structures;competitive programming,B,first-party organizer,ICPC Latin American Regional 2024 (scorelatam),https://scorelatam.naquadah.com.br/latam-2024/,2024 Latin American Regional Contest - problem set,https://scorelatam.naquadah.com.br/latam-2024/contest.pdf,contest-problems,English,Official ICPC Latin America regional problem set; 12 English problems; Peru (Perú) listed as participating country; first-party organizer scorelatam.,public,HTTP 200 · verified 2026-08-24,yes
Peru,DM,algorithms;competitive programming,B,first-party organizer,ICPC Latin American Regional 2024 (scorelatam),https://scorelatam.naquadah.com.br/latam-2024/,2024 Latin American Regional Warmup - problem set,https://scorelatam.naquadah.com.br/latam-2024/warmup.pdf,contest-problems,English,Official ICPC Latin America warmup set; 3 English problems; Peru among participating countries; first-party organizer.,public,HTTP 200 · verified 2026-08-24,yes
Peru,DM,algorithms;data structures;competitive programming,B,first-party organizer,ICPC Latin American Regional 2025 (scorelatam),https://scorelatam.naquadah.com.br/latam-2025/,2025 Latin American Regional Contest - problem set,https://scorelatam.naquadah.com.br/latam-2025/contest.pdf,contest-problems,English,Official ICPC Latin America regional problem set; 12 English problems; Peru (Perú) listed as participating country; first-party organizer scorelatam.,public,HTTP 200 · verified 2026-08-24,yes
Peru,DM,algorithms;competitive programming,B,first-party organizer,ICPC Latin American Regional 2025 (scorelatam),https://scorelatam.naquadah.com.br/latam-2025/,2025 Latin American Regional Warmup - problem set,https://scorelatam.naquadah.com.br/latam-2025/warmup.pdf,contest-problems,English,Official ICPC Latin America warmup set; 4 English problems; Peru among participating countries; first-party organizer.,public,HTTP 200 · verified 2026-08-24,yes
