country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week — Archive Index (English),https://mathsci.kaist.ac.kr/pow/,Problem archive (HTML),English,"First-party KAIST School of Mathematics Problem of the Week archive. English problem statements and linked solution PDFs for weekly advanced mathematics challenges (algebra, analysis, combinatorics, number theory, discrete math). Free public WordPress site, no login.",Free public web page,HTTP 200 · verified 2026-08-24,yes
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week 2010 Problems (English),https://mathsci.kaist.ac.kr/pow/2010/,Problem archive (HTML),English,"KAIST MathSci Problem of the Week 2010 yearly archive. Confirmed visible English problem statements (e.g., algebra, combinatorics, number theory) with linked English solution PDFs. First-party KAIST, free public.",Free public web page,HTTP 200 · verified 2026-08-24,yes
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week 2011 Problems (English),https://mathsci.kaist.ac.kr/pow/2011/,Problem archive (HTML),English,"KAIST MathSci Problem of the Week 2011 yearly archive. Confirmed visible English problem statements (e.g., algebra, combinatorics, number theory) with linked English solution PDFs. First-party KAIST, free public.",Free public web page,HTTP 200 · verified 2026-08-24,yes
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week 2012 Problems (English),https://mathsci.kaist.ac.kr/pow/2012/,Problem archive (HTML),English,"KAIST MathSci Problem of the Week 2012 yearly archive. Confirmed visible English problem statements (e.g., algebra, combinatorics, number theory) with linked English solution PDFs. First-party KAIST, free public.",Free public web page,HTTP 200 · verified 2026-08-24,yes
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week 2013 Problems (English),https://mathsci.kaist.ac.kr/pow/2013/,Problem archive (HTML),English,"KAIST MathSci Problem of the Week 2013 yearly archive. Confirmed visible English problem statements (e.g., algebra, combinatorics, number theory) with linked English solution PDFs. First-party KAIST, free public.",Free public web page,HTTP 200 · verified 2026-08-24,yes
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week 2014 Problems (English),https://mathsci.kaist.ac.kr/pow/2014/,Problem archive (HTML),English,"KAIST MathSci Problem of the Week 2014 yearly archive. Confirmed visible English problem statements (e.g., algebra, combinatorics, number theory) with linked English solution PDFs. First-party KAIST, free public.",Free public web page,HTTP 200 · verified 2026-08-24,yes
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week 2015 Problems (English),https://mathsci.kaist.ac.kr/pow/2015/,Problem archive (HTML),English,"KAIST MathSci Problem of the Week 2015 yearly archive. Confirmed visible English problem statements (e.g., algebra, combinatorics, number theory) with linked English solution PDFs. First-party KAIST, free public.",Free public web page,HTTP 200 · verified 2026-08-24,yes
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week 2016 Problems (English),https://mathsci.kaist.ac.kr/pow/2016/,Problem archive (HTML),English,"KAIST MathSci Problem of the Week 2016 yearly archive. Confirmed visible English problem statements (e.g., algebra, combinatorics, number theory) with linked English solution PDFs. First-party KAIST, free public.",Free public web page,HTTP 200 · verified 2026-08-24,yes
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week 2017 Problems (English),https://mathsci.kaist.ac.kr/pow/2017/,Problem archive (HTML),English,"KAIST MathSci Problem of the Week 2017 yearly archive. Confirmed visible English problem statements (e.g., algebra, combinatorics, number theory) with linked English solution PDFs. First-party KAIST, free public.",Free public web page,HTTP 200 · verified 2026-08-24,yes
Republic of Korea,GA/DM,"mathematics,problems,solutions,olympiad,algebra,analysis,combinatorics,number theory,discrete mathematics,graph theory",A,University-hosted math challenge archive,KAIST Math Problem of the Week (Weekly Math Challenges in KAIST),https://mathsci.kaist.ac.kr/pow/,KAIST Math Problem of the Week 2018 Problems (English),https://mathsci.kaist.ac.kr/pow/2018/,Problem archive (HTML),English,"KAIST MathSci Problem of the Week 2018 yearly archive. Confirmed visible English problem statements (e.g., algebra, combinatorics, number theory) with linked English solution PDFs. First-party KAIST, free public.",Free public web page,HTTP 200 · verified 2026-08-24,yes
