country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2012/index.php?id=problems_math,RMM 2012 Day 1 — English problem paper,https://rmms.lbi.ro/rmm2012/Probs2012-D1-Eng.pdf,Olympiad problem,English,Official RMM 2012 Day 1 problems (English); verified extract shows Problem 1-3.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2012/index.php?id=problems_math,RMM 2012 Day 2 — English problem paper,https://rmms.lbi.ro/rmm2012/Probs2012-D2-Eng.pdf,Olympiad problem,English,Official RMM 2012 Day 2 problems (English); verified extract shows Problem 4-6.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2013/index.php?id=problems_math,RMM 2013 Day 1 — English problem paper,https://rmms.lbi.ro/rmm2013/pr/RMM2013-Day1-English.pdf,Olympiad problem,English,Official RMM 2013 Day 1 problems; verified English extract.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2013/index.php?id=problems_math,RMM 2013 Day 2 — English problem paper,https://rmms.lbi.ro/rmm2013/pr2/RMM2013-Day2-English.pdf,Olympiad problem,English,Official RMM 2013 Day 2 problems; verified English extract.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2015/index.php?id=problems_math,RMM 2015 Day 1 — English problem paper,https://rmms.lbi.ro/rmm2015/pr/RMM2015-Day1-English.pdf,Olympiad problem,English,Official RMM 2015 Day 1 problems; verified English extract.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2015/index.php?id=problems_math,RMM 2015 Day 2 — English problem paper,https://rmms.lbi.ro/rmm2015/pr2/RMM2015-Day2-English.pdf,Olympiad problem,English,Official RMM 2015 Day 2 problems; verified English extract.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2016/index.php?id=problems_math,RMM 2016 Day 1 — English problem paper,https://rmms.lbi.ro/rmm2016/pr/RMM2016-Day1-English.pdf,Olympiad problem,English,Official RMM 2016 Day 1 problems; verified English extract.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2016/index.php?id=problems_math,RMM 2016 Day 2 — English problem paper,https://rmms.lbi.ro/rmm2016/pr2/RMM2016-Day2-English.pdf,Olympiad problem,English,Official RMM 2016 Day 2 problems; verified English extract.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2017/index.php?id=problems_math,RMM 2017 Day 1 — English problem paper,https://rmms.lbi.ro/rmm2017/pr/RMM2017-Day1-English.pdf,Olympiad problem,English,Official RMM 2017 Day 1 problems; verified English extract.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
Romania,GA,mathematical olympiad;problem solving;algebra;geometry;combinatorics;number theory;discrete mathematics,A,olympiad archive,Romanian Masters of Mathematics (RMM) official archive,https://rmms.lbi.ro/rmm2017/index.php?id=problems_math,RMM 2017 Day 2 — English problem paper,https://rmms.lbi.ro/rmm2017/pr2/RMM2017-Day2-English.pdf,Olympiad problem,English,Official RMM 2017 Day 2 problems; verified English extract.,Free public PDF,HTTP 200 · verified 2026-08-24,yes
