country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Rwanda,GA,mathematics;algebra;geometry;functions;probability;statistics;national examination;problem solving,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2015 Mathematics II 029 national examination,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=43621&token=affc1f81909ac183584e6f46fa99565a4cb43042,National examination paper,English,Official NESA direct PDF; OCR audit confirms substantive English Mathematics questions.,Free public PDF,HTTP 200 + local English/substantive OCR audit · verified 2026-08-17,Yes
Rwanda,EM,mathematics;technical education;algebra;geometry;trigonometry;problem solving;national examination,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2016 Mathematics B technical and professional studies examination,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=58108&token=a1e6735fb6f86562d8dcea1d1a5382f796b5509d,Technical mathematics examination paper,English,Official NESA direct PDF; OCR audit confirms substantive English Mathematics questions.,Free public PDF,HTTP 200 + local English/substantive OCR audit · verified 2026-08-17,Yes
Rwanda,EM,mathematics;technical education;algebra;geometry;trigonometry;problem solving;national examination,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2018 Mathematics B technical and professional studies examination,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=58179&token=e06c89a576cf16136aabca6e6f8937941494365b,Technical mathematics examination paper,English,Official NESA direct PDF; OCR audit confirms substantive English Mathematics questions.,Free public PDF,HTTP 200 + local English/substantive OCR audit · verified 2026-08-17,Yes
Rwanda,GA,mathematics;algebra;geometry;functions;probability;statistics;national examination;problem solving,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2021–2022 Mathematics II 029 national examination,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=57835&token=9288ac3fe8564ebb4fc12dcc015e8ade48cb6cd6,National examination paper,English,Official NESA direct PDF; text audit confirms substantive English Mathematics questions.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-17,Yes
Rwanda,EM,mathematics;technical education;algebra;functions;geometry;statistics;problem solving;national examination,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2022 Mathematics TVET national examination,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=86511&token=4497e34aef61ef0cc713ff1923c2aca830e0f9a8,Technical mathematics examination paper,English,Official NESA direct PDF; text audit confirms substantive English Mathematics questions.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-17,Yes
Rwanda,EM,mathematics;technical education;algebra;functions;geometry;statistics;problem solving;national examination,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2022 Mathematics II TVET national examination,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=86505&token=88fa5f642bcc39935c0d34380f4282542d4d246f,Technical mathematics examination paper,English,Official NESA direct PDF; text audit confirms substantive English Mathematics questions.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-17,Yes
Rwanda,GA,mathematics;set theory;algebra;geometry;probability;statistics;national examination;problem solving,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2023–2024 Mathematics I 010 national examination,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=109692&token=9b3d871d144de44e996cbe95e91699a9ee4967aa,National examination paper,English,Official NESA direct PDF; text audit confirms substantive English Mathematics questions.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-17,Yes
Rwanda,EM,mathematics;technical education;algebra;functions;geometry;statistics;problem solving;national examination,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2023–2024 Mathematics II TSS national examination,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=125637&token=febfb47ffa35defb19485bccba194dc3bcfd1a7d,Technical mathematics examination paper,English,Official NESA direct PDF; text audit confirms substantive English Mathematics questions.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-17,Yes
Rwanda,EM,mathematics;algebra;calculus;probability;statistics;science education;question and answer booklet;national examination,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2024–2025 Mathematics PCB national examination questions and answers booklet,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=141277&token=53f7947e744831d5c15232cbaa5f2c5fe91a66d4,National examination questions and answers booklet,English,Official NESA direct PDF; text audit confirms substantive English Mathematics questions and answers.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-17,Yes
Rwanda,GA,mathematics;arithmetic;algebra;geometry;measurement;statistics;primary examination;problem solving,A,National examination authority,Rwanda National Examination and School Inspection Authority Mathematics archive,https://www.nesa.gov.rw/1/resources,2023–2024 Primary Leaving Mathematics national examination,https://www.nesa.gov.rw/index.php?eID=dumpFile&t=f&f=109711&token=c145e4cb70d0efeb274ae483d9de4efd1ddf37ef,National examination paper,English,Official NESA direct PDF; text audit confirms substantive English Mathematics questions.,Free public PDF,HTTP 200 + local English/substantive PDF audit · verified 2026-08-17,Yes
