country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Saudi Arabia,EM,financial mathematics;derivatives,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Mathematics of Financial Derivatives — Major Exam I (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as251-252-e1.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS251 major exam i, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,financial mathematics;derivatives,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Mathematics of Financial Derivatives — Major Exam II (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as251-252-e2.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS251 major exam ii, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,financial mathematics;derivatives,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Mathematics of Financial Derivatives — Final Exam (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as251-252-fx.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS251 final exam, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,financial mathematics;annuities,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Financial Mathematics — Major Exam I (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as289-252-e1.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS289 major exam i, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,financial mathematics;annuities,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Financial Mathematics — Final Exam (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as289-252-fx.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS289 final exam, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,actuarial mathematics;contingencies,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Actuarial Contingencies II — Major Exam I (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as481-252-e1.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS481 major exam i, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,actuarial mathematics;contingencies,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Actuarial Contingencies II — Major Exam II (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as481-252-e2.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS481 major exam ii, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,actuarial mathematics;contingencies,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Actuarial Contingencies II — Final Exam (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as481-252-fx.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS481 final exam, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,actuarial mathematics;financial mathematics,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Topics in Actuarial and Financial Mathematics — Major Exam I (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as491-252-e1.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS491 major exam i, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,actuarial mathematics;financial mathematics,B,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Topics in Actuarial and Financial Mathematics — Final Exam (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/as491-252-fx.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (AS491 final exam, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,calculus;integrals;series,A,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Calculus II — Major Exam I (Term 251),https://math.kfupm.edu.sa/docs/default-source/css-library/math102-251-e1.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (MATH102 major exam i, term 251). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,calculus;integrals;series,A,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Calculus II — Major Exam II (Term 251),https://math.kfupm.edu.sa/docs/default-source/css-library/math102-251-e2.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (MATH102 major exam ii, term 251). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,calculus;integrals;series,A,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Calculus II — Final Exam (Term 251),https://math.kfupm.edu.sa/docs/default-source/css-library/math102-251-fx.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (MATH102 final exam, term 251). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,calculus;integrals;series,A,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Calculus II — Major Exam I (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/math102-252-e1.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (MATH102 major exam i, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,calculus;integrals;series,A,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Calculus II — Major Exam II (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/math102-252-e2.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (MATH102 major exam ii, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,calculus;integrals;series,A,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Calculus II — Final Exam (Term 252),https://math.kfupm.edu.sa/docs/default-source/css-library/math102-252-fx.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (MATH102 final exam, term 252). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
Saudi Arabia,EM,calculus;integrals;series,A,University exam archive,KFUPM Department of Mathematics exam archive,https://math.kfupm.edu.sa/miscellaneous/exam,Calculus II — Major Exam I (Term 253),https://math.kfupm.edu.sa/docs/default-source/css-library/math102-253-ex1.pdf,Exam,English,"Official KFUPM Department of Mathematics archive exam (MATH102 major exam i, term 253). PDF retrieved and text extracted: English questions verified. Hosted on math.kfupm.edu.sa.",Free public web resource,HTTP 200 · verified 2026-08-24,yes
