country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2019 Middle Primary Qualifying Round,http://wmc.ms.wits.ac.za/wp-content/uploads/2020/07/2019MPQR.pdf,Question paper,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 5790 extracted chars; 61 English signals; 16 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2019 Middle Primary Qualifying Round Solutions,http://wmc.ms.wits.ac.za/wp-content/uploads/2021/02/2019-Middle-Primary-Qualifying-Round-Solutions.pdf,Solution,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 2405 extracted chars; 52 English signals; 15 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2019 Middle Primary Final Round,http://wmc.ms.wits.ac.za/wp-content/uploads/2020/07/2019MPFR.pdf,Question paper,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 2516 extracted chars; 51 English signals; 13 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2019 Middle Primary Final Round Solutions,https://wmc.ms.wits.ac.za/wp-content/uploads/WMC_2019MPFIS-1.pdf,Solution,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 3306 extracted chars; 78 English signals; 13 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2020 Middle Primary Qualifying Round,http://wmc.ms.wits.ac.za/wp-content/uploads/2021/02/MP_Quali.pdf,Question paper,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 5401 extracted chars; 84 English signals; 15 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2020 Middle Primary Qualifying Round Solutions,http://wmc.ms.wits.ac.za/wp-content/uploads/2021/02/Middle-Primary-QR-2020.pdf,Solution,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 2495 extracted chars; 72 English signals; 15 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2020 Middle Primary Final Round,http://wmc.ms.wits.ac.za/wp-content/uploads/2021/02/WMC_2020_MPFR.pdf,Question paper,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 3937 extracted chars; 76 English signals; 22 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2020 Middle Primary Final Round Solutions,https://wmc.ms.wits.ac.za/wp-content/uploads/WMC_2020_MP_FR_Sols.pdf,Solution,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 4015 extracted chars; 127 English signals; 12 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2021 Middle Primary Qualifying Round,https://wmc.ms.wits.ac.za/wp-content/uploads/2021/08/WMC_2021_MPQR.pdf,Question paper,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 7685 extracted chars; 143 English signals; 20 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;olympiad;problem solving;multiple choice,B,Official university competition organizer,Wits Mathematics Competition (official),https://wmc.ms.wits.ac.za/past-papers/,Wits Mathematics Competition — 2021 Middle Primary Qualifying Round Solutions,https://wmc.ms.wits.ac.za/wp-content/uploads/2021/08/WMC_2021_MPQR_Sols-1.pdf,Solution,English,Official Wits public PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 9413 extracted chars; 184 English signals; 20 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
