country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 2 — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW2_2012_1.pdf,University assignment questions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 2 Solutions — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW2_2012_1-sol.pdf,University assignment solutions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 3 — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW3_2012_1.pdf,University assignment questions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 3 Solutions — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW3_2012_1_sol.pdf,University assignment solutions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 4 — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW4_2012_1.pdf,University assignment questions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 5 — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW5_2012_1.pdf,University assignment questions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 6 — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW6_2012_1.pdf,University assignment questions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 7 — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW7_2012_1.pdf,University assignment questions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 8 — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW8_2012_1.pdf,University assignment questions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;assignment questions,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Homework 9 — 2012,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/HW/HW9_2012_1.pdf,University assignment questions,English,"Direct public English PDF linked from Khon Kaen University’s 2012 188200 course index; item-level access, substantive-content, and duplicate evidence recorded in the audit ledger.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
