country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2010",https://gear.kku.ac.th/~polpinit/classes/188200_2010_1/,Khon Kaen University — HW1.pdf,http://gear.kku.ac.th/~polpinit/classes/188200_2010_1/HW/HW1.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2010",https://gear.kku.ac.th/~polpinit/classes/188200_2010_1/,Khon Kaen University — HW2.pdf,http://gear.kku.ac.th/~polpinit/classes/188200_2010_1/HW/HW2.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Midterm 2009 1.pdf,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/Exams/Midterm_2009_1.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Midterm 2009 summer.pdf,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/Exams/Midterm_2009_summer.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Midterm 2010 1.pdf,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/Exams/Midterm_2010_1.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Midterm 2011 1.pdf,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/Exams/Midterm_2011_1.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Final 2009 1.pdf,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/Exams/Final_2009_1.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Final 2009 summer.pdf,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/Exams/Final_2009_summer.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Final 2010 1.pdf,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/Exams/Final_2010_1.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;proof;sets;relations;graphs;counting;probability,A,First-party university course archive,"Khon Kaen University — Discrete Mathematics and Linear Algebra (188200), 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/,Khon Kaen University — Final 2011 1.pdf,https://gear.kku.ac.th/~polpinit/classes/188200_2012_1/Exams/Final_2011_1.pdf,"University homework, quiz, examination, or solution PDF",English,Direct public PDF linked from KKU’s English Discrete Mathematics and Linear Algebra course archive; local substantive-content and duplicate checks passed. Verified 2026-08-16.,Free public PDF,HTTP 200 · verified 2026-08-16,Yes
