country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,12 January 2000,https://bmos.ukmt.org.uk/home/bmo1-2000.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,11 May 1977,https://bmos.ukmt.org.uk/home/fist-1977.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,1 March 1989,https://bmos.ukmt.org.uk/home/fist-1989.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,1 December 2017,https://bmos.ukmt.org.uk/home/bmo1-2018.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,11 February 1993,https://bmos.ukmt.org.uk/home/bmo2-1993.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,11 December 2002,https://bmos.ukmt.org.uk/home/bmo1-2003.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,1 December 2006,https://bmos.ukmt.org.uk/home/bmo1-2007.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,12 May 1978,https://bmos.ukmt.org.uk/home/fist-1978.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,10 March 1983,https://bmos.ukmt.org.uk/home/bmo-1983.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,10 May 1979,https://bmos.ukmt.org.uk/home/fist-1979.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,11 May 1983,https://bmos.ukmt.org.uk/home/fist-1983.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,1 December 2004,https://bmos.ukmt.org.uk/home/bmo1-2005.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
United Kingdom,EM/DM,EM/DM,A,contest archive,British Mathematical Olympiad,https://bmos.ukmt.org.uk/home/bmo.shtml,1 February 2005,https://bmos.ukmt.org.uk/home/bmo2-2005.pdf,PDF resource,English,"Official UKMT papers, reports, and solution resources",,,yes
