country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Platinum — Min Max Subarrays (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1500,Olympiad problem,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Platinum — Min Max Subarrays (official solution),https://usaco.org/current/data/sol_prob1_platinum_feb25.html,Solution archive,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Platinum — Transforming Pairs (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1501,Olympiad problem,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Platinum — Transforming Pairs (official solution),https://usaco.org/current/data/sol_prob2_platinum_feb25.html,Solution archive,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Platinum — True or False Test (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1502,Olympiad problem,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Platinum — True or False Test (official solution),https://usaco.org/current/data/sol_prob3_platinum_feb25.html,Solution archive,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Gold — Bessie's Function (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1497,Olympiad problem,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Gold — Bessie's Function (official solution),https://usaco.org/current/data/sol_prob1_gold_feb25.html,Solution archive,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Gold — The Best Subsequence (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1498,Olympiad problem,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Gold — The Best Subsequence (official solution),https://usaco.org/current/data/sol_prob2_gold_feb25.html,Solution archive,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
United States,CS,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad historical contest archive (official),https://usaco.org/index.php?page=feb25results,2025 February Contest -- Final Results — Gold — Friendship Editing (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1499,Olympiad problem,English,Official USACO historic contest material; source page publishes public problems with associated solutions.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
