country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2025 General Mathematics marking guide,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_25_ea_mark_guide_pub.pdf,Solutions,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2025 General Mathematics Paper 1 question and response book,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_25_ea_p1_question_response.pdf,Exam,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2025 General Mathematics Paper 2 question and response book,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_25_ea_p2_question_response.pdf,Exam,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2024 General Mathematics marking guide,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_24_ea_mark_guide_pub.pdf,Solutions,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2024 General Mathematics Paper 1 multiple-choice question book,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_24_ea_p1_mc_question.pdf,MCQ,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2024 General Mathematics Paper 1 question and response book,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_24_ea_p1_question_response.pdf,Exam,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2024 General Mathematics Paper 2 question and response book,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_24_ea_p2_question_response.pdf,Exam,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2023 General Mathematics marking guide,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_23_ea_mark_guide_pub.pdf,Solutions,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2023 General Mathematics Paper 1 multiple-choice question book,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_23_ea_p1_mc_question.pdf,MCQ,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
Australia,EM,general mathematics;probability;statistics;sequences;graphs;networks;multiple choice,A,Queensland Curriculum and Assessment Authority archive,QCAA General Mathematics syllabus and external assessment archive (official),https://www.qcaa.qld.edu.au/senior/senior-subjects/syllabuses/mathematics/general-mathematics,2023 General Mathematics Paper 1 question and response book,https://www.qcaa.qld.edu.au/downloads/senior-qce/mathematics/snr_maths_general_23_ea_p1_question_response.pdf,Exam,English,"Official QCAA external-assessment question, response, or marking-guide PDF retained after direct browser verification, local substantive English-content audit, and exact URL deduplication. Public access does not require QCAA Portal login.",Free public web resource,Official source HTTP 200 + browser download + local substantive audit · verified 2026-08-16,Yes
