country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2025 Mathematics Methods — marking key (key assumed),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0014/1231124/2025-MAM-Ratified-Calc-Assumed-Marking-Key.PDF,Solution archive,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2025 Mathematics Methods — marking key (key free),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0015/1231125/2025-MAM-Ratified-Calc-Free-Marking-Key.PDF,Solution archive,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2025 Mathematics Methods — examination (exam assumed),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0012/1231122/2025-MAM-Examination-Calculator-Assumed.PDF,Exam paper,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2025 Mathematics Methods — examination (exam free),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0013/1231123/2025-MAM-Examination-Calculator-Free.PDF,Exam paper,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2024 Mathematics Methods — marking key (key assumed),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0009/1169532/2024-MAM-Ratified-Calc-Assumed-Marking-Key-Web-Version.PDF,Solution archive,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2024 Mathematics Methods — marking key (key free),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0010/1169533/2024-MAM-Ratified-Calc-Free-Marking-Key-Web-Version.PDF,Solution archive,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2024 Mathematics Methods — examination (exam assumed),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0006/1169529/2024-MAM-Examination-Calculator-Assumed-Web-Version.PDF,Exam paper,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2024 Mathematics Methods — examination (exam free),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0008/1169531/2024-MAM-Examination-Calculator-Free-Web-Version.PDF,Exam paper,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2023 Mathematics Methods — examination (exam assumed),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0004/1091560/2023-MAM-Examination-Calculator-Assumed.PDF,Exam paper,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
Australia,EM,mathematics;calculus;functions;probability;statistics;algebra;geometry;assessment;past year questions,A,State examination authority archive,SCSA Mathematics Methods past ATAR course exams (official),https://senior-secondary.scsa.wa.edu.au/further-resources/past-atar-course-exams/mathematics-methods-past-atar-course-exams,SCSA 2023 Mathematics Methods — marking key (key assumed),https://senior-secondary.scsa.wa.edu.au/__data/assets/pdf_file/0007/1091563/2023-MAM-Ratified-Marking-Key-Calculator-Assumed.PDF,Solution archive,English,Official SCSA public English assessment document; substantive examination or marking-key PDF retained. Formula sheets and summary reports excluded.,Free public web resource,Browser HTTP 200 + local PDF audit · verified 2026-08-16,Yes
