country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Pascal 2026 — Grade 9 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026PascalSoln%28E%29.pdf,Solution archive,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Pascal 2026 — Grade 9 contest paper,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026Pascal%28E%29FINAL.pdf,Contest paper,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Fermat 2026 — Grade 11 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026FermatSoln%28E%29_2.pdf,Solution archive,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Fermat 2026 — Grade 11 contest paper,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026Fermat%28E%29FINAL.pdf,Contest paper,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Cayley 2026 — Grade 10 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026CayleySoln%28E%29.pdf,Solution archive,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Cayley 2026 — Grade 10 contest paper,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026Cayley%28E%29FINAL.pdf,Contest paper,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Gauss 2026 — Grade 8 contest paper,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026Gauss8%28E%29.pdf,Contest paper,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Gauss 2026 — Grade 7 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026GaussSoln%28E%29.pdf,Solution archive,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Gauss 2026 — Grade 7 contest paper,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026Gauss7%28E%29.pdf,Contest paper,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
Canada,EM/DM,engineering mathematics;discrete mathematics;computational thinking;algorithms;problem solving;contest;solution,A,University contest archive,University of Waterloo CEMC past contests archive,https://cemc.uwaterloo.ca/resources/past-contests,CEMC Euclid 2026 — Grade 12 solutions,https://cemc.uwaterloo.ca/sites/default/files/documents/2026/2026EuclidSoln%28E%29.pdf,Solution archive,English,"Official University of Waterloo CEMC archive entry, extracted from the public past-contests table.",Free public PDF,HTTP 200 · verified 2026-08-14,Yes
