country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes
Australia/New Zealand,EM/DM,EM/DM,A,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,2016 AMO paper with solutions here,https://amt.edu.au/wp-content/uploads/2019/02/2016-AMO-Paper-and-Solutions.pdf,PDF solution/answer,English,Official AMO/AMC/AIMO papers and solutions
Australia/New Zealand,EM/DM,EM/DM,A,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,2017 AIMO paper with solutions here,https://amt.edu.au/wp-content/uploads/2019/04/2017-AIMO-paper-solutions-v2019.pdf,PDF solution/answer,English,Official AMO/AMC/AIMO papers and solutions
Australia/New Zealand,EM/DM,EM/DM,A,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,2017 AMO paper with solutions here,https://amt.edu.au/wp-content/uploads/2019/02/2017-AMO-Paper-and-Solutions.pdf,PDF solution/answer,English,Official AMO/AMC/AIMO papers and solutions
Australia/New Zealand,EM/DM,EM/DM,A,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,2018 AMO paper with solutions here,https://amt.edu.au/wp-content/uploads/2019/02/AMO-2018-Problems-and-Solutions.pdf,PDF solution/answer,English,Official AMO/AMC/AIMO papers and solutions
Australia/New Zealand,EM/DM,EM/DM,A,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,2019 AMO paper with solutions here,https://amt.edu.au/wp-content/uploads/2020/05/AMO-2019-paper-and-solutions.pdf,PDF solution/answer,English,Official AMO/AMC/AIMO papers and solutions
Australia/New Zealand,EM/DM,EM/DM,A,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,2020 AMO paper with solutions here,https://amt.edu.au/wp-content/uploads/2020/05/AMO-2020-paper-and-solutions.pdf,PDF solution/answer,English,Official AMO/AMC/AIMO papers and solutions
Australia/New Zealand,EM/DM,EM/DM,B,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,Australian Informatics Olympiad (AIO),https://amt.edu.au/aio,HTML source/link,English,Official AMO/AMC/AIMO papers and solutions
Australia/New Zealand,EM/DM,EM/DM,B,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,Australian Invitational Informatics Olympiad (AIIO),https://amt.edu.au/australian-invitational-informatics-olympiad-aiio,HTML source/link,English,Official AMO/AMC/AIMO papers and solutions
Australia/New Zealand,EM/DM,EM/DM,B,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,Australian Mathematical Olympiad (AMO),https://amt.edu.au/amo,HTML source/link,English,Official AMO/AMC/AIMO papers and solutions
Australia/New Zealand,EM/DM,EM/DM,A,contest archive,Australian Maths Trust past papers,https://amt.edu.au/department/past-papers,Australian Maths Trust past papers — official gateway,https://amt.edu.au/department/past-papers,Official gateway,English,Official AMO/AMC/AIMO papers and solutions
