country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 01,https://drive.google.com/file/d/1dcYC-ecWWclfYkYF_EShNr4dYyeMLN9T/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 02,https://drive.google.com/file/d/1FTtDqjhcnyt2Qo_WIR5E0vL9HBu2IXon/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 03,https://drive.google.com/file/d/1akCoh4dsNCOWHYm3TqHUzmViBvTOVSci/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 04,https://drive.google.com/file/d/1pq_gcoV5JasScSYBpDSbATpn8XFn31KB/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 05,https://drive.google.com/file/d/1LYT1MIBBwvTClkG_uBbHKAN1Yv2SxFpE/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 06,https://drive.google.com/file/d/1LIa6zgFajUuy4kwhaH9R7STw_hrdGeU7/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 07,https://drive.google.com/file/d/1aUo1XlpN_q5Y28YcXB9iiBSkWbfxFQ6S/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 08,https://drive.google.com/file/d/1M4SdUeDYE8Ik5dPnwARoKtTDKEkaYEx4/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 09,https://drive.google.com/file/d/1ne-dANE2dj261ylcbXbto-07NYkdabFQ/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical olympiad;problem solving;general aptitude;contest,A,Official university olympiad archive,"Mathematical Olympiad, Institute of Mathematical Sciences, Universiti Teknologi MARA (UiTM)",https://sites.google.com/tmsk.uitm.edu.my/idm-uitm/activities/mathematical-olympiad/sample-questions,UiTM Mathematical Olympiad — Sample-question document 10,https://drive.google.com/file/d/1wQuPII3WktiuFwYj7EMOwtLTdrGsKxA3/preview,Official olympiad sample problem document,English,Public Google Drive preview embedded by UiTM on its official sample-question page. The source page lists 2022–2024 sample-question groups; document order is retained because the static embed markup does not safely attach a year to each individual file.,Free public Google Drive preview,HTTP 200 · verified 2026-08-15,Yes
