country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq1.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq10.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq11.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq12.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq13.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq2.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq3.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq4.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq5.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
Nigeria,GA,mathematics;WASSCE;question;exam analysis,A,Official examination council e-learning archive,West African Examinations Council Mathematics e-Learning (Nigeria),https://www.waeconline.org.ng/e-learning/Mathematics/mathsmain.html,"General Mathematics Paper 2,May/June. 2007",https://www.waeconline.org.ng/e-learning/Mathematics/maths217mq6.html,Question page,English,Official public WAEC Nigeria e-learning page with substantive mathematics question content or examiner analysis; retained as a free web resource after direct HTTP and text-content audit.,Free public web resource,Official source HTTP 200 + substantive English page audit · verified 2026-08-16,Yes
