country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2021 Finals — Day 1 (Official English Problem PDF),https://noi.ph/wp-content/uploads/2023/07/NOI_PH_2021_Finals-2-1.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2021 Finals — Day 2 (Official English Problem PDF),https://noi.ph/wp-content/uploads/2023/07/NOI_PH_2021_Finals-2.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2023 Eliminations (Official English Problem PDF),https://noi.ph/wp-content/uploads/2023/07/NOI_PH_2023_Elims-1.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2024 Eliminations (Official English Problem PDF),https://noi.ph/wp-content/uploads/2026/05/NOI_PH_2024_Elims.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2024 Finals — Day 1 (Official English Problem PDF),https://noi.ph/wp-content/uploads/2026/05/NOI_PH_2024_Finals-1.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2024 Finals — Day 2 (Official English Problem PDF),https://noi.ph/wp-content/uploads/2026/05/NOI_PH_2024_Finals-2.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2025 Eliminations (Official English Problem PDF),https://noi.ph/wp-content/uploads/2026/05/NOI_PH_2025_Elims.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2025 Finals — Day 1 (Official English Problem PDF),https://noi.ph/wp-content/uploads/2026/05/NOI_PH_2025_Finals-1.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2025 Finals — Day 2 (Official English Problem PDF),https://noi.ph/wp-content/uploads/2026/05/NOI_PH_2025_Finals-2.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Philippines,DM,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,National programming Olympiad organiser archive,NOI.PH official elimination and finals problem archive,https://noi.ph/elims-finals-archive/,NOI.PH 2026 Eliminations (Official English Problem PDF),https://noi.ph/wp-content/uploads/2026/05/NOI_PH_2026_Elims.pdf?x44806,Informatics Olympiad problem paper,English,Direct public English contest-problem PDF hosted on the official Philippine Programming Contest website. The official archive labels this round PDF Only; login-gated HackerRank and group-gated Codeforces routes are deliberately excluded.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
