country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2025 — Questions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_2025_Paper.pdf,Question paper,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 4572 extracted chars; 97 English signals; 20 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2025 — Solutions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_Solutions_2025.pdf,Solution,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 10821 extracted chars; 142 English signals; 21 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2024 — Questions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_2024_Paper.pdf,Question paper,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 4438 extracted chars; 81 English signals; 20 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2024 — Solutions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_Solutions_2024.pdf,Solution,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 12875 extracted chars; 152 English signals; 21 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2023 — Questions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_2023_Paper.pdf,Question paper,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 4279 extracted chars; 85 English signals; 20 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2023 — Solutions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_Solutions_2023.pdf,Solution,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 12162 extracted chars; 170 English signals; 21 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2022 — Questions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_2022_Paper.pdf,Question paper,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 4184 extracted chars; 66 English signals; 20 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2022 — Solutions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_Solutions_2022.pdf,Solution,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 10826 extracted chars; 144 English signals; 20 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2021 — Questions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_2021_Paper.pdf,Question paper,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 4470 extracted chars; 80 English signals; 20 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
South Africa,GA/EM/DM,mathematics;tertiary olympiad;calculus;linear algebra;combinatorics;graph theory;problem solving,A,Official national mathematics foundation,South African Tertiary Mathematics Olympiad (SATMO) — SAMF official archive,https://www.samf.ac.za/en/tertiary-olympiad,SATMO 2021 — Solutions,https://www.samf.ac.za/content/files/QuestionPapers/SATMO_Solutions_2021.pdf,Solution,English,Official SAMF public SATMO PDF retained after local substantive English mathematics audit; HTTP 200 PDF; 10178 extracted chars; 142 English signals; 20 question markers.,Free public web resource,Official source HTTP 200 + local substantive audit · verified 2026-08-17,Yes
