country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr 6 and 7 2014,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/grade67-paper2014.zp84932.pdf?VersionId=axbI9qOhHy8s0OW_4X9RkGVfn4vlIut5,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2014-gr-6-and-7-2014.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr 8 and 9 2014,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/grade89-paper2014.zp84858.pdf?VersionId=mNxVAlqlJ3erN0X_3Ndwff_uL7VcHVWi,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2014-gr-8-and-9-2014.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr 10 and 11 2014,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/grade1011-paper2014.zp84859.pdf?VersionId=Era.KzjfgydlYhFCA2UbF40hYJaOxYDf,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2014-gr-10-and-11-2014.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr 6 and 7 2016,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/grade67paper2016.zp102118.pdf?VersionId=RAPaRjeZQ7p80t79QjM3moH_pVM3ATcT,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2016-gr-6-and-7-2016.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr 8 and 9 2016,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/grade89paper2016.zp102120.pdf?VersionId=YoFfIgwXnnKthEPA2cYPC4EFS0dMeKX9,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2016-gr-8-and-9-2016.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr10 and 11 2016,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/grade1011paper2016.zp102122.pdf?VersionId=XSOcL1uurO_QB3.1SGeBPLhXJo2cf0v6,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2016-gr10-and-11-2016.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr 6 and 7 2018,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/2018papergrade6and7.zp161081.pdf?VersionId=J3XyZHvAC7GTrmZyu7hKdNjS3LbnU92U,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2018-gr-6-and-7-2018.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr 8 and 9 2018,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/2018papergrade8and9.zp161082.pdf?VersionId=qzI2dlZWMcnJIUG_T3Ie4I5odKuUevzP,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2018-gr-8-and-9-2018.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr10 and 11 2018,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/2018papergrade10and11.zp161083.pdf?VersionId=j05spjtS.eiYYrHNLwAB.5wMzbZ0q_b_,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2018-gr10-and-11-2018.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
South Africa,GA,mathematics;arithmetic;algebra;geometry;combinatorics;probability;statistics;problem solving;contest,A,University competition archive,University of Pretoria Mathematics Competition,https://www.up.ac.za/mathematics-and-applied-mathematics/mathematics-competition,University of Pretoria Mathematics Competition — Gr 6 and 7 2020,https://drupalwebprod-files.up.ac.za/Public/media/128/documents/inline/47663/2020upcompetitiongrade6and7.zp192272.pdf?VersionId=9xue0Dz.Pw2pokqReyo8cR.H.vMQ6O0S,Contest paper,English,Official UP Mathematics Competition paper; local pdftotext audit confirms substantive English mathematics problem content. Stable direct file linked by the university page. Internal audit ID: south-africa-upmc-2020-gr-6-and-7-2020.,Free public PDF,HTTP 200 + local English/substantive clean-content audit · verified 2026-08-17,Yes
