country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Midterm examination, 2010",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Midterm_2010_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 11351 extracted chars; 135 English signals; 20 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Midterm examination, 2011",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Midterm_2011_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 8640 extracted chars; 130 English signals; 9 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Midterm examination, 2012",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Midterm_2012_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 13851 extracted chars; 199 English signals; 54 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Midterm examination, 2013",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Midterm_2013_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 15143 extracted chars; 121 English signals; 41 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Final examination, 2009",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Final_2009_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 8628 extracted chars; 129 English signals; 8 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Final examination, 2010",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Final_2010_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 11755 extracted chars; 145 English signals; 20 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Final examination, 2011",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Final_2011_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 5659 extracted chars; 69 English signals; 10 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Final examination, 2012",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Final_2012_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 11305 extracted chars; 105 English signals; 22 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Final examination, 2013",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Final_2013_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 11740 extracted chars; 92 English signals; 20 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200/198200),https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/index.html,"Khon Kaen University — Quiz1 examination, 2010",https://gear.kku.ac.th/~polpinit/classes/198200_2014_1/Exams/Quiz1_2010_1.pdf,University examination,English,Public direct PDF linked from the English KKU course index; retained after local substantive English discrete-mathematics audit. HTTP 200 PDF; 7522 extracted chars; 94 English signals; 32 question markers.,Free public PDF,HTTP 200 + local substantive PDF audit · verified 2026-08-17,Yes
