country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Final examination, 2009",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Final_2009_1.pdf,University final examination,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Final examination, 2010",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Final_2010_1.pdf,University final examination,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Final examination, 2011",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Final_2011_1.pdf,University final examination,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Final examination, 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Final_2012_1.pdf,University final examination,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Midterm examination, 2009",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Midterm_2009_1.pdf,University midterm examination,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Midterm examination, 2010",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Midterm_2010_1.pdf,University midterm examination,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Midterm examination, 2011",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Midterm_2011_1.pdf,University midterm examination,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;past year questions,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Midterm examination, 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Midterm_2012_1.pdf,University midterm examination,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;quiz,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Quiz 1, 2009",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Quiz1_2009_1.pdf,University quiz,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;quiz,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Quiz 1, 2010",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Quiz1_2010_1.pdf,University quiz,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;quiz,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Quiz 1, 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Quiz1_2012_1.pdf,University quiz,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;quiz,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Quiz 2, 2009",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Quiz2_2009_1.pdf,University quiz,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;quiz,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Quiz 2, 2011",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Quiz2_2011_1.pdf,University quiz,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Thailand,DM,discrete mathematics;linear algebra;logic;sets;relations;graphs;quiz,A,First-party university course archive,Khon Kaen University — Discrete Mathematics and Linear Algebra (188200),https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/index.html,"Khon Kaen University — Quiz 2, 2012",https://gear.kku.ac.th/~polpinit/classes/188200_2013_1/Exams/Quiz2_2012_1.pdf,University quiz,English,Direct public PDF linked from the English Khon Kaen University 188200 course index. No login or registration is required.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
