country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,"USACO 2026 First Contest — Platinum — Hoof, Paper, Scissors Triples (official problem)",https://usaco.org/index.php?page=viewproblem2&cpid=1548,Olympiad problem,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,"USACO 2026 First Contest — Platinum — Hoof, Paper, Scissors Triples (official solution)",https://usaco.org/current/data/sol_prob1_platinum_season26contest1.html,Solution archive,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,USACO 2026 First Contest — Platinum — Lineup Counting Queries (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1549,Olympiad problem,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,USACO 2026 First Contest — Platinum — Lineup Counting Queries (official solution),https://usaco.org/current/data/sol_prob2_platinum_season26contest1.html,Solution archive,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,USACO 2026 First Contest — Platinum — Pluses and Minuses (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1550,Olympiad problem,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,USACO 2026 First Contest — Platinum — Pluses and Minuses (official solution),https://usaco.org/current/data/sol_prob3_platinum_season26contest1.html,Solution archive,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,USACO 2026 First Contest — Gold — COW Traversals (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1545,Olympiad problem,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,USACO 2026 First Contest — Gold — COW Traversals (official solution),https://usaco.org/current/data/sol_prob1_gold_season26contest1.html,Solution archive,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,USACO 2026 First Contest — Gold — Milk Buckets (official problem),https://usaco.org/index.php?page=viewproblem2&cpid=1546,Olympiad problem,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
United States,DM,discrete mathematics;algorithms;combinatorics;graph theory;programming;Olympiad;contest;problem solving,A,National computing Olympiad contest archive,USA Computing Olympiad 2026 First Contest archive (official),https://usaco.org/index.php?page=season26contest1results,USACO 2026 First Contest — Gold — Milk Buckets (official solution),https://usaco.org/current/data/sol_prob2_gold_season26contest1.html,Solution archive,English,Official USACO contest material; public problem statement or associated solution page. Login is not required to read the resource.,Free public web resource,HTTP 200 · verified 2026-08-16,Yes
