country,resource_url,http_status,content_type,live_bucket,source_type
Germany,https://bwinf.de/olympiade/vergangene-olympiaden/,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/jugendwettbewerb/aufgaben/,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/olympiade/aufgaben/,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/41/1_runde/Bundeswettbewerb_41_Aufgabenblatt_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/40/1_runde/Bundeswettbewerb-Aufgabenblatt.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/39/1_runde/Bundeswettbewerb-Aufgabenblatt.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/38/1_runde/BwInf38-Aufgabenblatt.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/37/1_runde/BWINF_37_Aufgaben_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/36/1_runde/BWINF_36_Aufgaben_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/35/1_runde/BWINF_35_Aufgaben_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/1_runde/34_Aufgaben.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/33/1_runde/Aufgabenblatt331_Aufgaben.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/32/1_runde/Aufgabenblatt321_Aufgaben.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/31/1_runde/Aufgabenblatt311_Aufgaben.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/aufgaben343.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/43/1_runde/Aufgaben431.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/42/1_runde/BwInf_42_Aufgaben_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/44/1_Runde/Aufgaben441.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/40/1_runde/Bundeswettbewerb40-Mantel.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/39/1_runde/Bundeswettbewerb39-Mantel.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/38/1_runde/BwInf38-Mantel.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/37/1_runde/BWINF_37_Mantel_2018_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/36/1_runde/BwInf_36_Mantel_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/35/1_runde/BWINF_35_Mantel_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/1_runde/34_Mantel.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/33/1_runde/Aufgabenblatt331_Mantel.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/32/1_runde/Aufgabenblatt321_Mantel.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/31/1_runde/Aufgabenblatt311_Mantel.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/30/1_runde/Aufgabenblatt301.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/43/2_runde/Aufgaben432.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/42/2_runde/aufgaben422.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/41/2_runde/aufgaben412.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/40/2_runde/aufgaben402.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/39/2_runde/aufgaben392.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/38/2_runde/aufgaben382.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/37/2_runde/aufgaben372.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/36/2_runde/aufgaben362.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/35/2_runde/aufgaben352.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/2_runde/aufgaben342.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/33/2_runde/aufgaben332.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/32/2_runde/aufgaben322.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/31/2_runde/aufgaben312.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/30/2_runde/aufgaben302.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/44/2_Runde/Aufgaben442.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/1_runde/34_Beispielloesung.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/19/Beispielloesung_19.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/35/1_runde/BWINF_35_Beispielloesung_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/22/Beispielloesung_22.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/23/Beispielloesung_23.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/31/1_runde/Beispiell%C3%B6sung_31.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/36/1_runde/BwInf_36_Beispielloesung_WEB.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/21/Beispielloesung_21.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/32/1_runde/Aufgabenblatt321_Beispielloesung.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/33/1_runde/Aufgabenblatt331_Beispielloesung.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/24/Beispielloesung_24.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/biber/bibertests/,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/girls/egoi/,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/olympiade/,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/42/1_runde/Loesungshinweise421.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/41/1_runde/Loesungshinweise411.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/40/1_runde/loesungshinweise401.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/39/1_runde/loesungshinweise391.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/38/1_runde/loesungshinweise381.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/37/1_runde/loesungshinweise371.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/36/1_runde/loesungshinweise361_2217_.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/35/1_runde/loesungshinweise351.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/1_runde/loesungshinweise341.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/33/1_runde/loesungshinweise331.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/32/1_runde/loesungshinweise321.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/31/1_runde/loesungshinweise311_01.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/30/1_runde/loesungshinweise301_01.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/42/2_runde/Loesungshinweise422.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/41/2_runde/loesungshinweise412.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/40/2_runde/loesungshinweise402.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/39/2_runde/loesungshinweis392.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/38/2_runde/loesungshinweise382.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/37/2_runde/loesungshinweise372.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/36/2_runde/loesungshinweise362.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/35/2_runde/loesungshinweise_352.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/2_runde/loesungshinweise342_01.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/33/2_runde/loesungshinweise332_01.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/32/2_runde/loesungshinweise322.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/31/2_runde/loesungshinweise312_01.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/30/2_runde/loesungshinweise_302.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/43/2_runde/Loesungshinweise432.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/olympiade/2026/,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/olympiade/teilnehmen/,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/bundeswettbewerb/aufgaben/#c2902,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/35/1_runde/aufgabenblatt351_simple.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/34/1_runde/aufgabenblatt341_simple.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/33/1_runde/aufgabenblatt331_simple.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/32/1_runde/Aufgabenblatt321_Einfach.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/31/1_runde/Aufgabenblatt311_simple.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/30/1_runde/Aufgabenblatt301_simple.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://bwinf.de/bundeswettbewerb/aufgaben/#c2899,200,text/html; charset=utf-8,200_html,contest archive
Germany,https://bwinf.de/fileadmin/wettbewerbe/bundeswettbewerb/29/Beispielloesung_29.pdf,200,application/pdf,200_pdf,contest archive
Germany,https://www.testas.de/fileadmin/bilder/4_pdf-video/1-teilnehmende/testas_modellaufgaben_englisch_2017_kl.pdf,200,application/pdf,200_pdf,admissions practice
Japan,https://www2.ioi-jp.org/camp/2025/2025-sp-tasks/index.html,200,text/html,200_html,contest archive
Japan,https://contests.ioi-jp.org/joi-sp-2025/index-en.html,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://contests.ioi-jp.org/joi-sp-2025/ranking.html,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://www.ioi-jp.org/joi/2024/2025-sp_camp-rules,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://www.ioi-jp.org/joig/2024/2025-sp_camp-rules,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://contests.ioi-jp.org/,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://contests.ioi-jp.org/joi-sp-2025/index.html,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://www.imojp.org/archive/imo2003/contents/imo.html,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://www.imojp.org/archive/imo2003/contents/imoj.html,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://www.imojp.org/archive/imo2003/contents/mof.html#jmo,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://www.imojp.org/archive/imo2003/contents/mof.html,200,text/html; charset=utf-8,200_html,contest archive
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2010_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2011_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2011_2.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2012_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2012_2.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2013_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2013_2.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2014_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2014_2.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2015_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2015_2.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2016_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2016_2.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2017_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2017_2.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2018_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2018_2.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2019_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2020_2.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/pastpaper_2021_1.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/certificate/index.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/prearrival/required_score.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/procedure/ans_method.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/procedure/caution.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/procedure/application.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/bulletin.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/contact/index.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/contact/asia.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/publish.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/syllabus/index.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/syllabus/science_bio.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/syllabus/science_chem.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/syllabus/japan_theworld.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/syllabus/japanese.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/syllabus/mathematics.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/syllabus/science_phy.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/ejuonline/application/index.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/faq_eju/caution.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/procedure/examination_fee.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/procedure/language.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/schedule.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/procedure/subject.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/procedure/examination_time.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/faq_eju/voucher_overseas.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/faq_eju/voucher_japan.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/index.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/procedure/disability.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/index.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/procedure/index.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/en/ryugaku/eju/examinee/pastpaper_sample/index.html,200,text/html; charset=utf-8,200_html,admissions exam
Japan,https://www.jasso.go.jp/ryugaku/eju/examinee/pastpaper_sample/index.html,200,text/html; charset=utf-8,200_html,admissions exam
