country,resource_url,resource_title,source_type,source_title,language,source_file
Australia,https://amt.edu.au/aio,Australian Informatics Olympiad (AIO),contest archive,Australian Maths Trust past papers,English,final_resources.csv
Australia,https://amt.edu.au/australian-invitational-informatics-olympiad-aiio,Australian Invitational Informatics Olympiad (AIIO),contest archive,Australian Maths Trust past papers,English,final_resources.csv
Australia,https://amt.edu.au/amo,Australian Mathematical Olympiad (AMO),contest archive,Australian Maths Trust past papers,English,final_resources.csv
Australia,https://amt.edu.au/french-australian-regional-informatics-olympiad-fario,French-Australian Regional Informatics Olympiad (FARIO),contest archive,Australian Maths Trust past papers,English,final_resources.csv
Australia,https://amt.edu.au/olympiad-programs,Olympiad and Pathways Program,contest archive,Australian Maths Trust past papers,English,final_resources.csv
Australia,http://amt.edu.au/department/past-papers,Past Papers,contest archive,Australian Maths Trust past papers,English,final_resources.csv
Australia,https://amt.edu.au/alumni-network,The AMT Olympiad Alumni Network,contest archive,Australian Maths Trust past papers,English,final_resources.csv
Brazil,https://olimpiada.ic.unicamp.br/passadas/,Brazilian Olympiad in Informatics archive — official gateway,contest archive,Brazilian Olympiad in Informatics archive,Portuguese,final_resources.csv
Brazil,https://olimpiada.ic.unicamp.br/pratique/,OBI practice platform — official gateway,online practice,OBI practice platform,Portuguese,final_resources.csv
Brazil,https://www.obmep.org.br/provas.htm,OBMEP exams and solutions — official gateway,contest archive,OBMEP exams and solutions,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/alfabetiza-brasil,Alfabetiza Brasil,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/arcu-sul,Arcu-Sul,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/avaliacao-da-alfabetizacao,Avaliação da Alfabetização,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/avaliacao-da-educacao-profissional-e-tecnologica,Avaliação da Educação Profissional e Tecnológica,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/avaliacao-in-loco,Avaliação in loco,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais,Avaliações e Exames Educacionais,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/centrais-de-conteudo/apresentacoes/avaliacoes-e-exames-educacionais,Avaliações e Exames Educacionais,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/bni,BNI,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/celpe-bras,Celpe-Bras,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/composicao/diretoria-de-avaliacao-da-educacao-profissional-e-tecnologica/coordenacao-geral-de-exames-e-certificacoes-da-ept,Coordenação-Geral de Exames e Certificações da EPT,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
Brazil,https://www.gov.br/inep/pt-br/composicao/diretoria-de-avaliacao-da-educacao-basica/coordenacao-geral-de-exames-para-certificacao-1,Coordenação-Geral do Exame Nacional do Ensino Médio,national examination,INEP ENEM provas e gabaritos,Portuguese,final_resources.csv
